// Gentilicis estrangers
// Agafats del llibre de na C. Rigo i na M.M. Ramon

abkhaz
mogrebí mogrebina
mogribí mogribina
moldau moldava
moldavi moldàvia
monegasc monegasca
mongol mongola
montenegrí montenegrina
moravià moraviana
moscovita
mozabita
moçambiquès moçambiquesa
muniquès muniquesa
mzabita
napolità napolitana
narbonès narbonesa
natzarè natzarena
nauruà nauruana
neerlandès neerlandesa
neocaledonià neocaledoniana
neoguineà neoguineana
neozelandès neozelandesa
nepalès nepalesa
nicaragüenc nicaragüenca
nicaragüeny nicaragüenya
nicè nicena
nigerià nigeriana
nigerí nigerina
nilòtic nilòtica
nipó nipona
nivernès nivernesa
nord-africà nord-africana
nord-americà nord-americana
nord-coreà nord-coreana
normand normanda
noruec noruega
novaiorquès novaiorquesa
nubi núbia
nubià nubiana
numantí numantina
nuristanès nuristanesa
númida
occità occitana
oceànic oceànica
omanita
oretà oretana
osset
otomà otomana
paixtu
pakistanès pakistanesa
palestinenc palestinenca
palestí palestina
palmirè palmirena
panamenc panamenca
panameny panamenya
pannoni pannònia
paraguaià paraguaiana
parisenc parisenca
parmesà parmesana
partenopeu partenopea
patagó patagona
peitaví peitavina
peitoví peitovina
peloponesi peloponèsia
pennsilvanià pennsilvaniana
pequinès pequinesa
permià permiana
persa
persà persana
peruà peruana
picard picarda
piemontès piemontesa
pisà pisana
piteu pitea
polinesi polinèsia
polonès polonesa
pomerani pomerània
pompeià pompeiana
porto-riquenc porto-riquenca
porto-riqueny porto-riquenya
portuguès portuguesa
praguès praguesa
prussià prussiana
pullès pullesa
qatarià qatariana
quebequès quebequesa
ravennès ravennesa
renà renana
rhodesià rhodesiana
rodi ròdia
romanyès romanyesa
romanès romanesa
romà romana
ruandès ruandesa
rumeliota
rus russa
rutè rutena
rwandès rwandesa
sabeu sabea
sabí sabina
saharià sahariana
sahrauí sahrauís
salernità salernitana
salvadorenc salvadorenca
salvadoreny salvadorenya
samarità samaritana
samnita
samotraci samotràcia
samoà samoana
sard sarda
sasserès sasseresa
saudita
savoienc savoienca
savoià savoiana
saxó saxona
senegalès senegalesa
senès senesa
serbi sèrbia
siamès siamesa
siberià siberiana
sicilià siciliana
sidoni sidònia
sienès sienesa
silesià silesiana
singalès singalesa
siracusà siracusana
siri síria
sirià siriana
siríac siríaca
sodomita
sogdià sogdiana
somali
soviètic soviètica
suabi suàbia
sud-africà sud-africana
sud-americà sud-americana
sud-coreà sud-coreana
sudanès sudanesa
suec sueca
sumeri sumèria
surinamès surinamesa
suís suïssa
tadjik
tahitià tahitiana
tailandès tailandesa
taiwanès taiwanesa
tanzà tanzana
tartessi tartèssia
tasmanià tasmaniana
tebà tebana
tessali tessàlia
tessalonicenc tessalonicenca
texà texana
tibetà tibetana
timorès timoresa
tingità tingitana
tiri tíria
tirià tiriana
tirolès tirolesa
tirrè tirrena
